text,label,notes
"With game 7 of the second round series between OKC vs Denver, here are the highlights from game 7 between the Suns and Mavs second round series in 2022",analysis,
What’s your favorite memory of where you were when a NBA trade happened,hot_take,
"i think this stat is only counting players that make the team in the same season that they play with jokic. still dumb because murray has played to an all-star level throughout his playoff career, even if he isn't officially an all-star.",analysis,
This sub during playoffs is bunch of toxic posts for karma farming. Doesn't even bother to appreciate the game. Watching Nikola and this Denver team is peak fun for me. Who cares if they are not winning every year,hot_take,
Why did Steph Curry have the injury prone label early in his career?,hot_take,
How competitive would expansion franchises be in this era of the NBA?,reaction,
"Nikola Jokic in the game 7 loss to the Thunder: 20 points (5-9 FG, 9-11 FT), 9 REG, 7 AST, 5 Turnovers",analysis,
Bro cmon switch Cade and Jalen and see which team improves lmao,reaction,
If Shai wins MVP Final mvp and championship is he the best player in the world?,hot_take,
"Alex Caruso vs denver in the series: 10.4 Points, 1.6 Rebounds, 2.7 Assists, 0.6 Blocks and 1.6 Steals in 23.4 minutes, on 46/43/67 Splits and incredible defense all series",analysis,
Any issue with the softened whistle on the carry? Screenshot from SGA’s instagram,hot_take,
"sure, but why engage with this at all? downvote &amp; move on.",reaction,
Osama Bin Laden's final plan coming to fruition.,reaction,
Im very disappointed there was no fuck trae young chant going.,reaction,
"Maybe that’s because Caruso’s 3s are wide the fuck open because he’s being set up by SGA, whereas SGA is doing that set up plus taking shots against heavy defense. Have them take the same kinds of shots against the same kind of defense and the star player will outshoot the role player by a wide margin.",analysis,
The cavs got smoked the Celtics disintegrated from within,reaction,
Random fun fact regarding teams that remain,reaction,
"Easily one of, if not the most FVV player in the league",reaction,
Shai Gilgeous-Alexander since this moment: 31/5/6 on 56/37/82 on 66 TS% (4 games),analysis,
I can't believe Katy Perry is still doing concerts isn't she like 50?,reaction,
Nuggets should think outside the box and go hire Micheal Malone. He was getting to big for his britches and you humbled him. Have him bow down and kiss the ring( his own ring btw) It would be hilarious and very Trumpy,hot_take,
Every single analyst picked that flawed lakers team to win. They just got exposed by Wolves.,hot_take,
"As a player yes, as a fan I hate waiting.",reaction,
Vince Carter dunk with key Glock music 🔥🔥🔥🔥,reaction,
Western Conference Finals Matchup AI Art,reaction,
I mean he shot 39% this year from 3 and 38% the year before that. I’d say that’s a good shooter,hot_take,
I legit thought we were gonna lose this series on the backs of 3-4 magic moments like games 1 and 3 from Gordon. I wasn’t even convinced that he was a flesh-and-blood man. I really started to think he was the manifestation of the spirit and will of all the people I’ve known since college that have moved to Denver/CO the past 20 years or so. Like V from *V for Vendetta* if he had strong opinions on the indica vs. sativa debate.,analysis,
"That was intentional. The Thunder were $30M under the cap, spent it all on Hartenstein, then used Bird Rights to go over the cap re-signing Joe/Wiggins.",hot_take,
You can pry this flair from my cold dead hands,reaction,
Game 4 is often times the best game in a series,reaction,
"Blah Blah… somebody was bored, will wait for the games",reaction,
"Yes, because the quality of basketball improves in the playoffs as does the intensity. That's only sustainable with more rest, otherwise you end up with injuries, blowouts and mid offs.",analysis,
"The ""it means more for Liverpool"" and ""I'm a local lad living my dream"" set the fans expectations really high. Then shushing the home crowd while doing the yapping hand gesture, pointing to badge over and over, knowing all along he was gonna bail. Ohh and don't forget that he moved around at halfspeed all season to make sure he didn't get hurt. Madrid is going to tear him apart.",hot_take,
Down to the Final four. Who’s your pick?,reaction,
"Say it out loud: In a Game 7, Jokic took 9 shots in 37 minutes while being guarded by Alex Caruso",analysis,
"He objectively has bad endurance compared to the league's best, like Hart or McDaniels. He even has bad endurance compared to the average big man. If you want to say his endurance is good for a 300 lb 7 footer, then fine I guess, but people don't do that.",analysis,
Why the NBA WILL NEVER reduce the season from 82 games. Give me a reason why?,hot_take,
"Scott Foster was only in 2 games this series, and OKC won both by 40-point blowouts.",analysis,
Conference Finals Teams Starting Lineups Ranked by Net Rating,reaction,
Shai via IG: “They thought I was whyling when I was smiling”,reaction,
"Jokic wasn't even hard doubled. The thunder were sending a guy to dig and recover on the catch, walling up under the basket, and only actually sending the second guy when Jokic went to make a scoring move under the basket. The strategy was to make him beat them scoring. I don't know where the narrative that he was being double and triple teamed comes from, Mark clearly didn't want to sell out and have him carve their defense up.",hot_take,
"As fairytale as that would be, nah, we good, Presti already got new Westbrooks cooking in the lab right now.",hot_take,
LMAO this might be the best ever propsect to NBA player comp ever.,reaction,
"True but the Thunder are the youngest team in the league and also NBA history (think about that for a minute, truly scary) I think they’ll be ok",hot_take,
"Remove Scott Foster from the NBA, Please Help and Sign this petition",reaction,
[Gil's Arena] Danny Green explains how Kawhi Leonard reconstructed his shot,reaction,
"Also, was there something that went on in 2020 that would make it so teams that were on track to win 50 games maybe weren’t able to play a full season? Did something happen that year? I can’t remember?",analysis,
Only if they sacrifice half their paycheck.,reaction,
Y’all will be moved to the east when Seattle and Las Vegas are added.,hot_take,
"Jokic might be the only dude with an ounce of basketball IQ on the Nuggets' entire team, so half the battle is just throwing a ton of looks at him so that he can't keep up mentally. Some really hard to watch basketball about of Jokic's ""supporting cast"" in that series.",hot_take,
"must be in the wrong reply, i thought i was replying one comparing joker to jordan/bron which i just find ridiculous",hot_take,
Has the narrative for best player in the world changed?,reaction,
"Braun also cant playmake and is a mediocre spacer. Hes a good player because he brings good defense and hustle and transition, but thise are big weaknesses for a guard",analysis,
And 1 missed 3pt shot from Mike Conley from never having beaten a team with a top 4 seed.,hot_take,
Yankee stadium showered KAT wirh cheers and applause as they showed him on the jumbotron,hot_take,
Why was a possible Tim Donaghy co-conspirator reffing game 7?,reaction,
What’s better; posterizing dunk or game winner buzzer beater shot?,reaction,
Then jokic will never post a guy up or Get any rebounds . He uses his elbows n pushing for both,hot_take,
"In the two match-ups vs between the Myles &amp; the KAT-Knicks this year, KAT has basically averaged this season average w/ scoring. In the game where Turner didn't play, KAT had fuckin' 40. That was also the only match-up where Nembhard was healthy and Brunson was held to 8. I think Turner will be on KAT. If any center can defend KAT, it's probably Myles.",analysis,
"Just dropped this “School’s Out For Summer” tee – retro beach vibes, perfect timing 😎",hot_take,
The man likes his horses more than people.,reaction,
"Nikola Jokic on how this offseason will be compared to last: ""The next couple of days is gonna be a lot of beer probably""",analysis,
"The cap is just a starting point. If every team had salaries just at the cap, owners would actually owe players checks because the cap is 44.74% of BRI, and the mandated minimum collective salary is 49% of BRI. Teams are also mandated to spend to at least 90% of the cap every offseason, and that led directly to Detroit's surge from 14-68 to 44-38; they signed/received in trade multiple quality vets to meet the cap requirements instead of just tanking another year, and that led to winning games.",analysis,
Is there any theory on why Jokic and the Nuggets play in so many game 7s?,hot_take,
"Russell Westbrook from 2009 to 2014 won 8 playoff series, but from 2015 to 2025 hes only won 4 series in that span",hot_take,
"I think a lot of the issues is that teams aren't developing enough depth and sticking to them. If you don't play 6-10 in tight situations, they are never going to get comfortable enough to play during the postseason. It's really a consequence of teams not developing their depth enough and putting themselves in that situation. It's also hard to argue against teams playing their best players as much as they can during the most important games of the season. They are effectively borrowing from the future at that point and hoping they don't run out of credit.",hot_take,
Adam Silver is doing a horrible job with the post season awards.,reaction,
Smart Wireless Earbuds with 60H Playtime & LED Display Charging Case,reaction,
NBA Conference Finals Predictions | West CF: MIN v. OKC | Analysis Chat,analysis,
"Saying they didn't play well and providing facts as to why that is, is not picking on a player ffs. He didnt play well. Keep riding that, he ain't getting a ring lmao",hot_take,
Last Conference Finals Appearance as of Today,reaction,
"$30M when his extension starts would be 17% of the cap. I broke down the math in another comment, but it would guarantee that either the Nuggets are deep into the second apron even if all 10 bench guys are minimums, or they waive/stretch MPJ because his last year is only partially guaranteed.",analysis,
You wouldn’t be so upset if you thought I was wrong,reaction,
"""I feel pressure. Blood pressure. The blood pressure of my victims--I mean opponents.""",hot_take,
that's insane. gordon this year has been not even CLOSE to mcdaniels and og defensively.,hot_take,
The Thunder won a championship as the SuperSonics in 1979.,reaction,
"Yes, important to include. NY gets twice as many opportunities to win championships but you’d never know from the returns. Which are mostly just hilarious dookies.",hot_take,
Shai Gilgeous-Alexander in the Game 7 win: 35 PTS | 3 REB | 4 AST | 3 STL | 1 BLK on 12/19 FG (63%) | 3/4 3FG | 7/8 FT | 0 TO and a plus-minus of +32,analysis,
"The Thunder-Nuggets series had the second largest point differential between 2 teams in a 7-game series ever, (OKC: +64) behind only Boston vs. Atlanta in 2008 (BOS: +84)",analysis,
“Choices we had to make” bro ya front office let KCP walk while deciding to give Jamal the max and sign Zeke Nmaji to a 3 year extension lmao that’s just a front office being shit. Not every team is gonna do that,analysis,
Both teams have to play on the same rest. You didn't get blown out because you didn't get enough rest. You got blown out because OKC was that much better on that night.,analysis,
"Can Jalen Brunson be the ""face of the NBA"" if Knicks win a championship?",hot_take,
Less blowouts?! Nah man. That has nothing to do with scheduling. It's not like your opponent is getting 3 days to your every other day.,hot_take,
"Shai: ''Obviously Dub didn't have the best series, same thing happened last year, but the reason we're advancing is because he got better mentally and physically.''",analysis,
"Oh wow so youre a Jordan hater too lmao. You do realize that Jordan retired in 03 right? Majority of the ""plumbers"" from the 90s played well into the 2000s. Hell the guys who dominated the 2000s were all drafted and played in the 90s. Also Lebron scored 8 points in a must win game in the finals. And got spanked by Nowitzki and an old ass JKidd, you know, plumbers from the expansion era. So maybe Lebron is a plumber too.",hot_take,
"I posted a thread about this but everyone shot me down. I get its all about money, but there was something special about that best of 5 first round. Now we dont get those big upsets like nuggets over sonics",hot_take,
The Thunder open as -330 favourites in the series against the Wolves.,reaction,
Was this Westbrook's last chance for glory?,reaction,
"You sound stupid. I am coping because I think two guys who are 28 and 29 are not washed, lol.",analysis,
Russell Westbrook is a basketball liability,reaction,
SARS-CoV-2 virus finally gained the ability to spread rapidly between humans,reaction,
"[OC] A list of referees with Game 7 assignment since 2014, with Scott Foster leading the way with 12 games (Reference: Basketball Reference)",analysis,
"Look at the teams and systems around them, that’s not just about the players themselves. The Pacers explosive offense isn’t just because of Hali, it’s designed that way by Carlisle and has performed well even when Nembhard has started at PG in the past. Also there is no “maybe” about Cade being a better defender. And a better scorer.",analysis,
Who will be the last team to win the NBA?,reaction,
"In 21st century, there are only two seasons where the west only have two 50-win teams: 2022-2023 season and 2017-2018 season. However in 2017-2018 season, 46 wins will get you 9th seed, while in 2022-2023 season that will get you 4th seed.",analysis,
"Nikola “has no help” Jokic in a blowout Game 7 loss, 20 pts, 9 rebs, 7 assists, 5 turnovers, 3 fouls. 5-9 FG, 1-2 3P, 9-11 FT. +/- -23.",analysis,
Whose individual performance are you most looking forward to watching in this conference finals?,hot_take,
"My point was that he was drafted with the expectation of being the guy, or atleast that’s what is assumed when you draft someone number 4 in the draft. Top 5 picks are generally expected to be elite players, and to become atleast the best guy on their team and he didn’t do that that was my point.",hot_take,
Knicks vs Timberwolves - Finals Prediction,reaction,
"Is Aaron Gordon right, should there be more rest between playoff games?",reaction,
i had no idea nonchalant was a frequently used word thankful for never being on tiktok i guess 🙏,hot_take,
The seven different NBA champions of the parity era reflect the seven deadly sins,hot_take,
"So in that scenario, the Timberwolves (who were 16 games above .500) wouldn’t make the playoffs.",analysis,
"That’s not the actual reason. They move series start dates all the time; if the Thunder had beat the Nuggets in 6, game 1 was going to be yesterday instead of tomorrow.",hot_take,
"Jalen Williams in the Game 7 blowout: 24 PTS, 5 REB, 7 AST, 1 STL on 10/17 FG (59%)",analysis,
"[Stein]The Bucks, league sources say, remain hopeful Giannis Antetokounmpo will decide against asking to be dealt after a third successive first-round playoff exit and choose instead to extend a career that has spanned 12 seasons as a Buck to date.",hot_take,
"The point he's making is that hypotheticals are stupid. He's saying the real question shouldn't be 'could you win"" but rather 'did you win."" 'Could' doesn't matter.",hot_take,
Thibs sticks to what he knows (sometimes at the detriment of the team). To this point it has gotten us to the ECF but its clear we can tap into more rotation wise. Thibs loves Josh Hart and Hart is a great player but he kind of kills the half-court offense because teams put their Center on him and sag off. Against Boston he shot **42%** from 3 we are going to need him to keep that up if we are going to have a shot.,analysis,
Because if they follow him they’re not under the basket. Pacers don’t want a top 3 rim protector playing defense at the 3 Point line if they don’t have to,analysis,
Tbf that’s almost exactly the same makeup of the thunder lol,reaction,
"Championship droughts across the NBA, NHL, NFL, and MLB for New York, Indianapolis, Minneapolis/St. Paul, and Oklahoma City (+Seattle)",hot_take,
[Bobby Marks] Christian Braun extension number will be at least $30M per year,hot_take,
Yes because otherwise a series would be one-sided. Even a 6 game series feel flat and disappointing because you come in with an expectation that the losing team will try their best to force game 7 only to fall short,analysis,
They actually making excuses for him saying he needs to flop. I cannot take how insane the narrative on jokic is it’s like the hypocrisy of a certain president fanbase,hot_take,
There was a water leak during the Thunder's postgame presser,reaction,
Meatless Shai. FTA. Flops all day. Wolves in 5.,reaction,
"Game 7 Disappointments: Over the last 12 game 7s, 10 of them have been decided by double digits. Half have been decided by 20+. The average margin of victory has been 19.5.",hot_take,
Nuggets lost because of their reliance on Jokic orchestrating the offense.,reaction,
"I mean… were Jokic defending Caruso the way Caruso was defending Jokic, he would have picked up 6 fouls by halftime. Just because a guy is smaller doesn’t mean he should be able to smack the shit out of a bigger guy all game long. Also Jokic was backing him down a bunch back in game 2 but got called for 5 offensive fouls in that game. 1-2 of them were on illegal screens, but at least a few of them were him backing down a smaller guy in the post. I’m not suggesting it’s the reason we lost. But I refuse to believe Alex fucking Caruso is the only guy who can lock Jokic up",analysis,
I think Rick is going to save Jarace for Brunson,reaction,
What Is going on with defense in NBA? Should we accept the narrative of playoff defense?,hot_take,
Michael porter jr vs the thunder: 7/5/1 on 42% TS,reaction,
Basically the better team just locks in lol,reaction,
"&gt;Jokic the efficiency god, rather lose than miss Couldn't be a more untrue statement if you tried. He leads the league in last second heaves",analysis,
"It's only working this well because the average draft pick is so much more skilled now, and there is so much better coaching - not on court off court stuff - than used to be the case. And almost every coaching staff is much more professional now, there's nowhere to hide like there used to be because all these teams are worth so much and have so much scrutiny.",analysis,
For some information 40 year lebron and 37 year old Stephen curry outplayed nikola jokic these playoffs curry’s stats are hurt because of the injury game but through to 7 he outperformed jokic he’s not better then prime curry and prime lebron and that’s okay he’s in the KG tier better but in that tier,analysis,
What a stupid question to ask a guy after losing in game 7 to the favs,reaction,
"Somebody told me on r/nba the other day that Jokic would feast in the 90s. I know Ewing, Hakeem, Mutumbo, Robinson, Rodman and Mourning are no Caruso but I think they might have a shot defending Jokic effectively.",hot_take,
[Highlight] The Nuggets empty their bench with over 9 minutes remaining in the 4th quarter of game 7.,analysis,
An assist should be credited when the teammate makes the field goal in two or less dribbles.,hot_take,
You’ll take franz wagner and like it my boy,reaction,
Ant in NY will probably start families too,reaction,
i am going to start watching nba suggest me a team,reaction,
The Thunder open as -375 favourites in the series against the Wolves.,reaction,
"Giannis Antetokounmpo has averaged 33.0 points, 15.4 rebounds and 6.6 assists in 5 games in his last 5 games against the Pacers.",analysis,
"No Lakers, No Warriors, No Lebron, No Steph, No Returning Defending Champion, No ""Star"" Player/s. It's anyone's game.",hot_take,
why did the dallas cowboys trade luke doncick,reaction,
"[SERIOUS NEXT DAY THREAD] Post-Game Discussion (May 18, 2025)",reaction,
Within the players association every voice counts as equal so the stars quite literally dont matter,hot_take,
"Let him go to RFA, sign&trade if some other team gives him a big deal. The other alternatives: sign Braun, have only minimum contracts for all 10 bench players, play starters 48 minutes/game in the playoffs for the next 3 years until they collapse into rubble. Waive/stretch MPJ the final year of his contract to slash $36M off their cap hit, and still only have the mini-MLE to replace him. Trade Aaron Gordon for depth. None of those options are good.",analysis,
"Nikola ""has no help"" Jokic in a blowout Game 7 loss: 20 pts, 9 rebounds, 7 assists, 5 turnovers, 3 fouls. 5-9 FG, 1-2 3P, 9-11 FT. +/- -23",analysis,
"3/5 of the Knicks starters in their main full strength starting lineup from last year left in the offseason, however all five players are in the Conference Finals this year",analysis,
"Nikola Jokic has gone the first 839 games of his career without having a teammate who was an All-Star, All-NBA or All-Defensive player that season. Of the ~5000 players in NBA history, he’s the only one to go his first 700+ career games without such a teammate. Insane",analysis,
"[Highlights] All the possessions in the 3rd quarter of game 7 - Oklahoma City Thunder vs. Denver Nuggets, Western Semifinals, 2025 NBA Playoffs. OKC won the quarter 37-26",analysis,
Do all players involved in a sign and trade need to be free agents?,hot_take,
"Ant vs Shai, this is for the tween tween enthusiasts",reaction,
We know this because they used to put multiple days between games to try to get as many onto weekend slots as possible and it completely sucked. A 7 game series would run for 17-18 days. The pace of the playoffs today is great. Teams that play their bench and don’t rev their starters to 40+ minutes in round 1 *should* be rewarded.,analysis,
"For each of the 2019-2024 champs, not one of them has made it back to the conference finals after winning their ring, except for the lakers (2023)",hot_take,
"Was Steph Curry dumb for not returning in game 4,5 ?",reaction,
rondo was the goat and you cant tell me otherwise,reaction,
We hate him because he’s unprofessional and the defense was so good he stopped the season mid pandemic.,analysis,
Because it helps with the narrative that Jokic has no help. :),reaction,
2025 Western Conference Finals schedule: (1) Oklahoma City Thunder vs. (6) Minnesota Timberwolves,analysis,
Thank you for calling us young. One of my earliest basketball memories was magic announcing his retirement. Your 13 year old nephew probably only seen a handful of finals. While as we've seen fuck me almost as many as years he was born,analysis,
"""Wingspan"" is a flawed stat because of this. Jokic wingspan vs. Dort/Caruso is a huge advantage, but Jokic wingspan+vertical vs. Dort/Caruso wingspan+vertical, and all of a sudden we start to understand why OKC's guards successfully prevented Jokic receiving the ball in the post.",analysis,
"I'm fine with every of these teams. Maybe a bit less for OKC because I feel like they have not even reach their ceiling and will have many more opportunities to win in the future. While the Wolves and Knicks won't have that many chances with these rosters due to the new CBA (and I like Ant and KAT) and the Pacers are coming out of nowhere and that ""revenge mode tyrese thanos haliburton"" is exciting.",analysis,
Too early for this. This shit belongs to preseason.,reaction,
"I apologise to warriors fans because I thought only stephews do this, it’s more excusable because Steph isn’t jokic sized so it’s more frustrating: these lot are actually crying the guy who fouls everyone constantly is getting battled for positions in he post",analysis,
"Celtics vs Heat game 7 2022 was a banger, and so was last year’s game 7 of TWolves vs Nuggets.",analysis,
I am honestly rooting for the Knicks just to see the aftermath,reaction,
